ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-04-24T08:58:18.013-04:00,MTA NYCT_9468,40.787617,-73.953883,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9576,40.78903,-73.954942,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9565,40.73663,-73.993157,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9482,40.758671,-73.97499,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:58:18.013-04:00,MTA NYCT_9495,40.811742,-73.938379,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9583,40.797776,-73.94857,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9578,40.742547,-73.986755,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:58:18.013-04:00,MTA NYCT_9488,40.7554,-73.979483,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9579,40.731422,-73.990353,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9499,40.738659,-73.99168,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9498,40.720696,-73.997726,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9573,40.769924,-73.966788,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9462,40.821272,-73.936133,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9495,40.810703,-73.939127,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9484,40.753284,-73.981019,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9477,40.76834,-73.970034,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9468,40.788228,-73.953427,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9490,40.780628,-73.961069,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9582,40.7311,-73.990429,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9586,40.821593,-73.9369,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9565,40.736396,-73.993326,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9576,40.788991,-73.954971,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9583,40.797528,-73.948749,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9578,40.743148,-73.986319,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:58:48.927-04:00,MTA NYCT_9469,40.807293,-73.939502,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9488,40.754542,-73.980111,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9473,40.731413,-73.994364,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9575,40.750314,-73.981089,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9482,40.75973,-73.97422,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:58:48.927-04:00,MTA NYCT_9579,40.73161,-73.990304,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:48.927-04:00,MTA NYCT_9489,40.763713,-73.973421,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:48.927-04:00,MTA NYCT_9499,40.738371,-73.991885,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9578,40.744233,-73.985527,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:59:19.583-04:00,MTA NYCT_9498,40.720696,-73.997726,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9477,40.768259,-73.970093,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9462,40.821272,-73.936133,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9582,40.7311,-73.990429,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9468,40.790003,-73.952138,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9473,40.730846,-73.993023,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9489,40.762028,-73.974643,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9488,40.753663,-73.980745,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9586,40.821593,-73.9369,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9565,40.736353,-73.993357,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9583,40.797248,-73.948966,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9469,40.809662,-73.937772,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9499,40.736491,-73.993257,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9579,40.732703,-73.99004,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9576,40.787725,-73.955886,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9495,40.810552,-73.939236,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9482,40.760278,-73.973823,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:59:19.583-04:00,MTA NYCT_9575,40.750476,-73.980974,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9573,40.770127,-73.966637,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:19.583-04:00,MTA NYCT_9484,40.753019,-73.981214,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:59:19.583-04:00,MTA NYCT_9490,40.779805,-73.961677,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:59:50.354-04:00,MTA NYCT_9498,40.720696,-73.997726,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:59:50.354-04:00,MTA NYCT_9477,40.768259,-73.970093,EAST VILLAGE 8 ST via 5 AV,MTA_405284
